|name      |ra           |dec          |spect_type  |vmag |
|HIP 42828 |08 43 35.5475|-33 11 11.081|B1.5III     | 3.68|
|HIP 114341|23 09 26.7621|-21 10 20.948|K1III       | 3.68|
|HIP 9007  |01 55 56.8325|-51 36 34.512|G5IV        | 3.69|
|HIP 57399 |11 46 03.1341|+47 46 45.613|K0III       | 3.69|
|HIP 2920  |00 36 58.2670|+53 53 48.954|B2IV        | 3.69|
|HIP 23453 |05 02 28.6801|+41 04 33.202|K4II comp   | 3.69|
|HIP 106985|21 40 05.3422|-16 39 44.112|A7III:mp... | 3.69|
|HIP 47854 |09 45 14.8276|-62 30 28.524|G5Iab/Ib    | 3.69|
|HIP 114971|23 17 09.4936|+03 16 56.083|G7III       | 3.70|
|HIP 87933 |17 57 45.8307|+29 14 52.531|K0III       | 3.70|
|HIP 15474 |03 19 30.9697|-21 45 28.592|M3/M4III    | 3.70|
|HIP 98036 |19 55 18.7662|+06 24 28.560|G8IVvar     | 3.71|
|HIP 22797 |04 54 15.0956|+02 26 26.417|B2III SB    | 3.71|
|HIP 38414 |07 52 13.0455|-40 34 32.876|G5III...    | 3.71|
|HIP 77622 |15 50 48.8912|+04 28 39.287|A2m         | 3.71|
|HIP 88771 |18 07 21.0207|+09 33 49.152|A4IVs       | 3.71|
|HIP 28103 |05 56 24.3183|-14 10 04.937|F1V         | 3.71|
|HIP 28358 |05 59 31.5503|+54 17 05.935|K0III       | 3.72|
|HIP 16537 |03 32 56.4216|-09 27 29.901|K2V         | 3.72|
|HIP 17499 |03 44 52.5235|+24 06 48.414|B6III       | 3.72|
|HIP 104060|21 04 55.8558|+43 55 40.264|K5Ibv SB    | 3.72|
|HIP 107089|21 41 28.4731|-77 23 22.064|K0III       | 3.73|
|HIP 112961|22 52 36.8645|-07 34 46.844|M2IIIvar    | 3.73|
|HIP 72220 |14 46 14.9918|+01 53 34.578|A0V         | 3.73|
|HIP 87585 |17 53 31.6295|+56 52 20.828|K2III       | 3.73|
|HIP 16083 |03 27 10.1209|+09 43 57.981|B9Vn        | 3.73|
|HIP 8645  |01 51 27.6106|-10 20 05.803|K2III       | 3.74|
|HIP 80170 |16 21 55.2437|+19 09 10.879|A9III       | 3.74|
|HIP 104887|21 14 47.3466|+38 02 39.554|F1IV        | 3.74|
|HIP 87108 |17 47 53.5740|+02 42 26.851|A0V         | 3.75|
|HIP 44511 |09 04 09.3205|-47 05 51.770|K2III       | 3.75|
|HIP 95853 |19 29 42.3393|+51 43 46.083|A5Vn        | 3.76|
|HIP 30867 |06 28 49.0741|-07 01 58.982|B3Ve        | 3.76|
|HIP 111169|22 31 17.3758|+50 16 56.819|A1V         | 3.76|
|HIP 93683 |19 04 40.9338|-21 44 28.876|K0III       | 3.76|
|HIP 27654 |05 51 19.1528|-20 52 39.050|G8III/IV    | 3.76|
|HIP 26069 |05 33 37.5164|-62 29 23.481|F6Ia        | 3.76|
|HIP 26549 |05 38 44.7653|-02 36 00.244|O9.5V...    | 3.77|
|HIP 42570 |08 40 37.5753|-46 38 55.518|F3Ia        | 3.77|
|HIP 20455 |04 22 56.0273|+17 32 33.303|G8III       | 3.77|
|HIP 101958|20 39 38.2545|+15 54 43.390|B9V         | 3.77|
|HIP 105881|21 26 40.0277|-22 24 40.962|G4Ibp...    | 3.77|
|HIP 82363 |16 49 47.1114|-59 02 28.739|K5III       | 3.77|
|HIP 109176|22 07 00.4745|+25 20 42.166|F5V         | 3.77|
|HIP 13268 |02 50 41.7928|+55 53 43.906|K3Ib comp SB| 3.77|
|HIP 17529 |03 45 11.6434|+42 34 42.760|F5IIvar     | 3.77|
|HIP 41312 |08 25 44.2462|-66 08 11.474|K2IIIvar    | 3.77|
|HIP 71795 |14 41 08.9204|+13 43 41.992|A3IVn       | 3.78|
|HIP 102618|20 47 40.5326|-09 29 44.484|A1V         | 3.78|
|HIP 48319 |09 50 59.6917|+59 02 20.776|F0IV        | 3.78|
|HIP 36046 |07 25 43.6761|+27 47 53.828|G9III+...   | 3.78|
|HIP 34481 |07 08 44.8245|-70 29 57.100|G8IIIvar    | 3.78|
|HIP 53253 |10 53 29.5662|-58 51 11.753|K0III-IV... | 3.78|
|HIP 55203 |11 18 11.2400|+31 31 50.800|G0V         | 3.79|
|HIP 53229 |10 53 18.6399|+34 12 56.039|K0III-IV    | 3.79|
|HIP 14668 |03 09 29.6291|+44 51 28.400|K0III       | 3.79|
|HIP 99675 |20 13 37.9027|+46 44 28.767|K2II+...    | 3.80|
|HIP 94779 |19 17 06.1099|+53 22 05.378|K0III       | 3.80|
|HIP 14879 |03 12 04.2800|-28 59 20.782|F8V         | 3.80|
|HIP 37229 |07 38 49.8813|-26 48 14.013|B5IV        | 3.80|
|HIP 76276 |15 34 48.1902|+10 32 19.893|F0IV        | 3.80|
|HIP 116584|23 37 33.7077|+46 27 33.034|G8III-IV    | 3.81|
|HIP 51232 |10 27 52.7451|-58 44 21.871|F2II        | 3.81|
|HIP 76952 |15 42 44.6382|+26 17 43.851|A1Vs        | 3.81|
|HIP 21393 |04 35 33.0717|-30 33 44.318|G8III       | 3.81|
|HIP 9487  |02 02 02.8006|+02 45 49.538|A2          | 3.82|
|HIP 80883 |16 30 54.8412|+01 59 02.762|A2V         | 3.82|
|HIP 45688 |09 18 50.6673|+36 48 10.431|A1V         | 3.82|
|HIP 86414 |17 39 27.8924|+46 00 22.760|B3V SB      | 3.82|
|HIP 56211 |11 31 24.2885|+69 19 52.038|M0IIIvar    | 3.82|
|HIP 51069 |10 26 05.5050|-16 50 09.945|K4III       | 3.83|
|HIP 68245 |13 58 16.2847|-42 06 02.539|B2IV        | 3.83|
|HIP 72370 |14 47 51.7262|-79 02 40.965|K5III       | 3.83|
|HIP 43783 |08 55 02.8617|-60 38 40.963|B8III       | 3.84|
|HIP 97433 |19 48 10.2136|+70 16 04.207|G8III       | 3.84|
|HIP 17440 |03 44 11.5549|-64 48 25.538|K0IV SB     | 3.84|
|HIP 51624 |10 32 48.6751|+09 18 23.740|B1Ib SB     | 3.84|
|HIP 89341 |18 13 45.8087|-21 03 31.789|B2III:      | 3.84|
|HIP 51986 |10 37 18.2568|-48 13 32.219|A3m+...     | 3.84|
|HIP 20885 |04 28 34.4323|+15 57 43.982|G7III       | 3.84|
|HIP 17448 |03 44 19.1264|+32 17 17.784|B1III       | 3.84|
|HIP 88794 |18 07 32.5508|+28 45 44.893|B9.5V       | 3.84|
|HIP 61199 |12 32 28.1110|-72 07 58.713|B5V         | 3.84|
|HIP 91117 |18 35 12.4379|-08 14 35.909|K2III       | 3.85|
|HIP 27321 |05 47 17.0833|-51 04 00.168|A3V         | 3.85|
|HIP 19747 |04 14 00.0813|-42 17 37.943|K1III       | 3.85|
|HIP 61622 |12 37 42.3278|-48 32 28.637|A2V         | 3.85|
|HIP 78072 |15 56 26.9942|+15 39 53.040|F6V         | 3.85|
|HIP 50191 |10 14 44.2738|-42 07 19.426|A2V         | 3.85|
|HIP 90139 |18 23 41.7668|+21 46 13.233|K2III       | 3.85|
|HIP 30277 |06 22 06.8452|-33 26 10.581|G7II        | 3.85|
|HIP 61281 |12 33 29.0425|+69 47 17.556|B6IIIp      | 3.85|
|HIP 110395|22 21 39.3000|-01 23 14.471|A0V         | 3.86|
|HIP 25859 |05 31 12.7355|-35 28 13.569|K1II/III    | 3.86|
|HIP 79664 |16 15 26.2661|-63 41 08.336|G5II        | 3.86|
|HIP 87808 |17 56 15.1785|+37 15 01.878|K1IIvar     | 3.86|
|HIP 4436  |00 56 45.0977|+38 29 57.318|A5V         | 3.86|
|HIP 21594 |04 38 10.8709|-14 18 12.913|K1III       | 3.86|
|HIP 81065 |16 33 27.4642|-78 53 49.053|K0IV SB     | 3.86|
|HIP 97804 |19 52 28.3638|+01 00 20.442|F6Ibv SB    | 3.87|
|HIP 68282 |13 58 40.7714|-44 48 12.713|B2IV-V      | 3.87|
|HIP 43023 |08 46 01.6547|-46 02 29.541|A1III       | 3.87|
|HIP 17573 |03 45 49.5931|+24 22 04.289|B8III       | 3.87|
|HIP 78104 |15 56 53.0867|-29 12 50.444|B2IV/V      | 3.87|
|HIP 71957 |14 43 03.5623|-05 39 26.745|F2III       | 3.87|
|HIP 74376 |15 11 56.1610|-48 44 15.728|B9V         | 3.88|
|HIP 765   |00 09 24.5399|-45 44 49.158|K0III       | 3.88|
|HIP 114421|23 10 21.4279|-45 14 47.931|K0III SB    | 3.88|
|HIP 48455 |09 52 45.9577|+26 00 25.506|K0III       | 3.88|
|HIP 8832  |01 53 31.7652|+19 17 38.734|A1p Si      | 3.88|
|HIP 45336 |09 14 21.7933|+02 18 54.087|B9.5V       | 3.89|
|HIP 13701 |02 56 25.6038|-08 53 51.395|K1III-IV    | 3.89|
|HIP 98110 |19 56 18.3962|+35 05 00.567|K0IIIvar    | 3.89|
|HIP 60129 |12 19 54.3914|-00 40 00.290|A2IV        | 3.89|
|HIP 33152 |06 54 07.9548|-24 11 03.203|K3Iab       | 3.89|
|HIP 55425 |11 21 00.4422|-54 29 27.650|B5Vn        | 3.90|
|HIP 47431 |09 39 51.3340|-01 08 33.566|K3IIIvar    | 3.90|
|HIP 65936 |13 31 02.6685|-39 24 26.207|G8II/III    | 3.90|
|HIP 41307 |08 25 39.6709|-03 54 22.913|A0V         | 3.91|
|HIP 60823 |12 28 02.4116|-50 13 50.177|B3V         | 3.91|
|HIP 18907 |04 03 09.3768|+05 59 21.513|A1V         | 3.91|
|HIP 73807 |15 05 07.1057|-47 03 04.298|B5          | 3.91|
|HIP 76333 |15 35 31.5394|-14 47 22.393|K0III       | 3.91|
|HIP 79992 |16 19 44.4479|+46 18 47.775|B5IV        | 3.91|
|HIP 104987|21 15 49.3967|+05 14 53.066|G0III+...   | 3.92|
|HIP 83207 |17 00 17.4062|+30 55 34.821|A0V         | 3.92|
|HIP 95168 |19 21 40.3753|-17 50 50.106|F0III/IV    | 3.92|
|HIP 21444 |04 36 19.1406|-03 21 08.813|B2III SB    | 3.93|
|HIP 37504 |07 41 49.1960|-72 36 22.087|K0III       | 3.93|
|HIP 2072  |00 26 12.1162|-43 40 47.674|A7V         | 3.93|
|HIP 7083  |01 31 14.9815|-49 04 23.077|K0III-IV    | 3.93|
|HIP 54463 |11 08 35.3956|-58 58 30.151|G0Ia0       | 3.93|
|HIP 13531 |02 54 15.4625|+52 45 44.964|G4III...    | 3.93|
|HIP 88192 |18 00 38.7155|+02 55 53.715|B5Ib        | 3.93|
|HIP 78933 |16 06 48.4325|-20 40 08.885|B1V         | 3.93|
|HIP 5348  |01 08 23.0601|-55 14 44.996|B6V + B0V   | 3.94|
|HIP 37447 |07 41 14.8767|-09 33 03.899|K0III       | 3.94|
|HIP 37677 |07 43 48.4721|-28 57 17.407|A2Iab       | 3.94|
|HIP 42911 |08 44 41.1101|+18 09 17.510|K0III       | 3.94|
|HIP 103413|20 57 10.4116|+41 10 01.898|A1Vn        | 3.94|
|HIP 9598  |02 03 26.1903|+72 25 16.463|A2V         | 3.95|
|HIP 31592 |06 36 40.9989|-19 15 20.553|K1III+...   | 3.95|
|HIP 45101 |09 11 16.7679|-62 19 01.257|B3IV        | 3.96|
|HIP 95347 |19 23 53.1514|-40 36 56.327|B8V         | 3.96|
|HIP 95241 |19 22 38.2865|-44 27 32.076|B9V         | 3.96|
|HIP 19343 |04 08 39.6733|+47 42 45.337|B3Ve        | 3.96|
|HIP 99848 |20 15 28.3182|+47 42 51.139|K3Ib-II comp| 3.96|
|HIP 28328 |05 59 08.7905|-42 48 54.387|K0III       | 3.96|
|HIP 44248 |09 00 38.7522|+41 47 00.398|F5V         | 3.96|
|HIP 115438|23 22 58.3015|-20 06 01.242|K0III       | 3.96|
|HIP 98495 |20 00 35.3933|-72 54 36.664|A0V         | 3.97|
|HIP 42515 |08 40 06.1365|-35 18 29.883|G5II/III    | 3.97|
|HIP 77634 |15 50 57.5418|-33 37 37.578|B9.5III-IV  | 3.97|
|HIP 112440|22 46 31.8424|+23 33 56.446|G8II-III    | 3.97|
|HIP 59449 |12 11 39.1514|-52 22 06.296|B3V         | 3.97|
|HIP 110997|22 29 16.1541|-43 29 43.996|G6/G8III    | 3.97|
|HIP 27673 |05 51 29.3926|+39 08 54.526|K0III       | 3.97|
|HIP 20535 |04 24 02.1654|-34 01 01.151|K4III       | 3.97|
|HIP 35228 |07 16 49.8308|-67 57 25.821|F6II        | 3.97|
|HIP 18614 |03 58 57.8997|+35 47 27.697|O7.5Iab:    | 3.98|
|HIP 106481|21 33 58.8729|+45 35 31.436|G8III       | 3.98|
|HIP 114996|23 17 25.8120|-58 14 09.339|F1III       | 3.99|
|HIP 9347  |02 00 00.2248|-21 04 39.979|K5/M0III    | 3.99|
|HIP 65477 |13 25 13.4156|+54 59 16.796|A5V SB      | 3.99|
|HIP 29651 |06 14 51.3365|-06 16 29.019|K3III       | 3.99|
|HIP 50954 |10 24 23.7405|-74 01 53.561|F2IV        | 3.99|
|HIP 79374 |16 11 59.7405|-19 27 38.329|B2IV        | 4.00|
|HIP 44382 |09 02 26.7988|-66 23 45.037|Am          | 4.00|
|HIP 55642 |11 23 55.3688|+10 31 46.912|F2IV SB     | 4.00|
|HIP 101076|20 29 23.7310|+30 22 06.804|F5II        | 4.01|
|HIP 34088 |07 04 06.5354|+20 34 13.078|G3Ibv SB    | 4.01|
|HIP 91792 |18 43 02.1338|-71 25 39.823|K2III       | 4.01|
|HIP 80000 |16 19 50.5676|-50 09 19.365|G8III       | 4.01|
|HIP 78527 |16 01 53.7037|+58 33 51.975|F8IV-V      | 4.01|
|HIP 71865 |14 41 57.6128|-37 47 36.326|B2.5V       | 4.01|
|HIP 22109 |04 45 30.1410|-03 15 16.649|B5IV        | 4.01|
|HIP 35037 |07 14 48.6616|-26 46 21.670|B2IV/Ve     | 4.01|
|HIP 8068  |01 43 39.6153|+50 41 19.556|B2Vpe       | 4.01|
|HIP 43409 |08 50 32.0113|-27 42 36.211|K3III       | 4.02|
|HIP 93244 |18 59 37.3892|+15 04 06.519|K2III       | 4.02|
|HIP 93429 |19 01 40.8414|-05 44 20.466|K1IIIvar    | 4.02|
|HIP 59199 |12 08 24.7527|-24 43 43.608|F0IV/V      | 4.02|
|HIP 23522 |05 03 25.0973|+60 26 32.213|G0Ib        | 4.03|
|HIP 101421|20 33 12.7648|+11 18 11.996|B6III       | 4.03|
|HIP 63003 |12 54 35.6576|-57 10 40.408|B2IV-V      | 4.03|
|HIP 88601 |18 05 27.2128|+02 30 08.781|K0V SB      | 4.03|
|HIP 118268|23 59 18.6024|+06 51 48.937|F4IV        | 4.03|
|HIP 43103 |08 46 41.8343|+28 45 36.018|G8Iab:      | 4.03|
|HIP 10670 |02 17 18.8357|+33 50 50.356|A1Vnn       | 4.03|
|HIP 111497|22 35 21.3289|-00 07 02.500|B9IV-Vn     | 4.04|
|HIP 70497 |14 25 12.0194|+51 51 06.169|F7V         | 4.04|
|HIP 57380 |11 45 51.5706|+06 31 47.330|M0III       | 4.04|
|HIP 19587 |04 11 51.9332|-06 50 16.003|F2II-III    | 4.04|
|HIP 40702 |08 18 31.2668|-76 55 11.937|F5III       | 4.05|
|HIP 55434 |11 21 08.2482|+06 01 45.670|B9.5Vs      | 4.05|
|HIP 71536 |14 37 53.2511|-49 25 32.728|B5V         | 4.05|
|HIP 67459 |13 49 28.6979|+15 47 52.101|K5IIIvar    | 4.05|
|HIP 70090 |14 20 33.4793|-37 53 06.962|A0IV        | 4.05|
|HIP 42884 |08 44 23.9660|-42 38 57.564|G5III       | 4.05|
|HIP 112716|22 49 35.5098|-13 35 33.135|K5III       | 4.05|
|HIP 14632 |03 09 02.8833|+49 36 48.600|G0V         | 4.05|
|HIP 60009 |12 18 26.2927|-64 00 10.964|B2.5V       | 4.06|
|HIP 83153 |16 59 35.0467|-53 09 37.764|K4III       | 4.06|
|HIP 22957 |04 56 22.3211|+13 30 52.479|K2III       | 4.06|
|HIP 36962 |07 35 55.3723|+26 53 45.612|K5III       | 4.06|
|HIP 72010 |14 43 39.4835|-35 10 23.612|K3III       | 4.06|
|HIP 55705 |11 24 52.9832|-17 41 02.463|A9V         | 4.06|
|HIP 59929 |12 17 34.6363|-67 57 38.418|M5III       | 4.06|
|HIP 74117 |15 08 50.6296|-45 16 47.259|B3V         | 4.07|
|HIP 69701 |14 16 00.8849|-05 59 58.294|F7V         | 4.07|
|HIP 110991|22 29 10.2479|+58 24 54.684|G2Ibvar     | 4.07|
|HIP 74824 |15 17 30.9602|-58 48 03.164|A3V         | 4.07|
|HIP 53740 |10 59 46.7488|-18 17 56.750|K1III       | 4.08|
|HIP 33160 |06 54 11.4807|-12 02 18.934|K4III       | 4.08|
|HIP 11001 |02 21 45.0230|-68 39 33.926|A3V         | 4.08|
|HIP 46974 |09 34 26.6630|-59 13 47.165|B5II        | 4.08|
|HIP 3693  |00 47 20.3902|+24 16 02.557|K1II        | 4.08|
|HIP 105502|21 22 05.1339|+19 48 15.681|K1III       | 4.08|
|HIP 12387 |02 39 28.9483|+00 19 42.660|B2IV        | 4.08|
|HIP 104139|21 05 56.7794|-17 13 57.759|A1V         | 4.08|
|HIP 92862 |18 55 20.0852|+43 56 45.213|M5IIIvar    | 4.08|
|HIP 14146 |03 02 23.5931|-23 37 27.610|A4V         | 4.08|
|HIP 26366 |05 36 54.3307|+09 17 29.083|G8III-IV    | 4.09|
|HIP 77450 |15 48 44.4086|+18 08 30.405|M1III       | 4.09|
|HIP 12777 |02 44 11.6880|+49 13 43.199|F7V         | 4.10|
|HIP 90568 |18 28 49.7360|-49 04 12.111|G8/K0III    | 4.10|
|HIP 94160 |19 10 01.7524|-39 20 26.544|K0II/IIICN. | 4.10|
|HIP 38164 |07 49 14.2990|-46 22 23.618|B0III       | 4.10|
|HIP 7513  |01 36 47.9770|+41 24 22.986|F8V         | 4.10|
|HIP 34045 |07 03 45.4932|-15 37 59.732|B8II        | 4.11|
|HIP 48356 |09 51 28.6825|-14 50 47.580|G6/G8III    | 4.11|
|HIP 76440 |15 36 43.1869|-66 19 00.857|K0III       | 4.11|
|HIP 12486 |02 40 39.9317|-39 51 19.113|K0III       | 4.11|
|HIP 42312 |08 37 38.6414|-42 59 20.773|A6II        | 4.11|
|HIP 113638|23 00 52.8743|-52 45 14.780|G8III       | 4.11|
|HIP 94114 |19 09 28.2783|-37 54 15.262|A0/A1V      | 4.11|
|HIP 57439 |11 46 30.8490|-61 10 42.093|G0II        | 4.11|
|HIP 51839 |10 35 28.2184|-78 36 28.130|M0III       | 4.11|
|HIP 12394 |02 39 35.2237|-68 16 01.011|B9III       | 4.12|
|HIP 58948 |12 05 12.6696|+08 43 58.244|G8III       | 4.12|
|HIP 111043|22 29 45.4455|-43 44 57.221|M4.5IIIa    | 4.12|
|HIP 98032 |19 55 15.6791|-41 52 06.289|K0III       | 4.12|
|HIP 19812 |04 14 53.8577|+48 24 33.743|G0Ib...     | 4.12|
|HIP 102978|20 51 49.2962|-26 55 08.855|K4III       | 4.12|
|HIP 28614 |06 02 22.9904|+09 38 50.523|Am...       | 4.12|
|HIP 116771|23 39 56.8203|+05 37 38.473|F7V         | 4.13|
|HIP 102485|20 46 05.7661|-25 16 13.861|F5V         | 4.13|
|HIP 77853 |15 53 49.4771|-16 43 46.640|K0III       | 4.13|
|HIP 30883 |06 28 57.7905|+20 12 43.802|B6III       | 4.13|
|HIP 25247 |05 23 56.8364|-07 48 28.640|G8III       | 4.13|
|HIP 112405|22 46 03.7233|-81 22 53.822|A9IV/V      | 4.13|
|HIP 42313 |08 37 39.4074|+05 42 13.675|A1Vnn       | 4.14|
|HIP 16369 |03 30 52.3670|+12 56 12.055|K0II-III... | 4.14|
|HIP 17608 |03 46 19.5603|+23 56 54.463|B6IV        | 4.14|
|HIP 109937|22 15 58.1702|+37 44 55.445|K3III       | 4.14|
|HIP 107354|21 44 38.7042|+25 38 42.010|F5IV        | 4.14|
|HIP 76127 |15 32 55.7959|+31 21 32.959|B6Vnn       | 4.14|
|HIP 78159 |15 57 35.3019|+26 52 40.895|K3III       | 4.14|
|HIP 59072 |12 06 52.8529|-64 36 49.100|F2III       | 4.14|
|HIP 116805|23 40 24.4418|+44 20 02.320|B9IVn       | 4.15|
|HIP 85112 |17 23 40.9729|+37 08 45.326|B9.5III     | 4.15|
|HIP 34769 |07 11 51.8604|-00 29 34.010|A2V         | 4.15|
|HIP 28734 |06 04 07.2165|+23 15 49.075|G7III       | 4.16|
|HIP 78727 |16 04 21.6300|-11 22 24.800|F6IV        | 4.16|
|HIP 36366 |07 29 06.6097|+31 47 02.686|F0V...      | 4.16|
|HIP 85340 |17 26 22.2174|-24 10 30.084|A3IV:m      | 4.16|
|HIP 110003|22 16 49.9664|-07 46 59.653|G8III-IV    | 4.17|
|HIP 17874 |03 49 27.2809|-36 12 00.405|G8III       | 4.17|
|HIP 2599  |00 32 59.9865|+62 55 54.436|B1Ia        | 4.17|
|HIP 69427 |14 12 53.7410|-10 16 26.558|K3III       | 4.18|
|HIP 109857|22 15 01.6790|+57 02 36.475|F0IV        | 4.18|
|HIP 81304 |16 36 22.4609|-35 15 19.280|K5III       | 4.18|
|HIP 111954|22 40 39.3256|-27 02 37.013|B8V         | 4.18|
|HIP 69732 |14 16 23.1764|+46 05 16.508|A0sh        | 4.18|
|HIP 67457 |13 49 26.7513|-34 27 02.269|M5III       | 4.19|
|HIP 92043 |18 45 39.7312|+20 32 49.645|F6V         | 4.19|
|HIP 25813 |05 30 47.0479|+05 56 53.585|B5V         | 4.20|
|HIP 113246|22 55 56.8920|-32 32 22.927|G8III       | 4.20|
|HIP 51233 |10 27 53.0925|+36 42 26.921|G8III-IV    | 4.20|
|HIP 112447|22 46 41.4415|+12 10 26.702|F7V         | 4.20|
|HIP 38835 |07 56 51.5583|-22 52 48.535|F7/F8II     | 4.20|
|HIP 81126 |16 34 06.1893|+42 26 12.824|B9Vvar      | 4.20|
|HIP 82080 |16 45 58.1615|+82 02 14.103|G5IIIvar    | 4.21|
|HIP 20635 |04 25 22.0988|+22 17 38.332|A7IV-V      | 4.21|
|HIP 105858|21 26 26.4921|-65 22 05.320|F6V         | 4.21|
|HIP 16228 |03 29 04.1344|+59 56 25.205|B9Ia        | 4.21|
|HIP 101093|20 29 34.8273|+62 59 38.894|A7III       | 4.21|
|HIP 114724|23 14 19.3325|-06 02 54.696|M2III       | 4.22|
|HIP 92609 |18 52 13.0365|-62 11 15.218|B2II-III    | 4.22|
|HIP 17651 |03 46 50.9890|-23 14 54.377|F3/F5V      | 4.22|
|HIP 13254 |02 50 34.9142|+38 19 08.070|F2III       | 4.22|
|HIP 38518 |07 53 18.1629|-48 06 10.614|B0.5Ib      | 4.22|
|HIP 80569 |16 27 01.4383|-18 27 22.309|B2Vne       | 4.22|
|HIP 102453|20 45 39.7591|+30 43 10.764|K0III       | 4.22|
|HIP 78918 |16 06 35.5563|-36 48 07.967|B2.5Vn      | 4.22|
|HIP 92175 |18 47 10.4773|-04 44 52.183|G5II...     | 4.22|
|HIP 92791 |18 54 30.2887|+36 53 54.979|M4IIvar     | 4.22|
|HIP 89908 |18 20 45.4412|+71 20 15.818|A0p (Si)    | 4.22|
|HIP 105102|21 17 24.9525|+39 23 40.885|B9Iab       | 4.22|
|HIP 107259|21 43 30.4549|+58 46 48.191|M2Ia        | 4.23|
|HIP 81852 |16 43 05.4196|-77 30 59.659|K0III       | 4.23|
|HIP 68520 |14 01 38.7832|+01 32 40.500|A3V         | 4.23|
|HIP 1599  |00 20 01.9142|-64 52 39.444|F9V         | 4.23|
|HIP 67153 |13 45 41.5666|-33 02 36.118|F3V         | 4.23|
|HIP 64394 |13 11 52.9227|+27 52 33.736|G0V         | 4.23|
|HIP 93825 |19 06 25.0396|-37 03 45.926|F7IV-V      | 4.23|
|HIP 37629 |07 43 18.6853|+28 53 02.658|K1III SB    | 4.23|
|HIP 79101 |16 08 46.1993|+44 56 05.348|B9MNp...    | 4.23|
|HIP 107533|21 46 47.6059|+49 18 34.469|B3III       | 4.23|
|HIP 61317 |12 33 45.0925|+41 21 24.364|G0V         | 4.24|
|HIP 11407 |02 26 59.1050|-47 42 13.777|B5IV        | 4.24|
|HIP 86565 |17 41 24.9165|-12 52 30.622|A2Va        | 4.24|
|HIP 80911 |16 31 22.9415|-34 42 15.555|B2III-IV    | 4.24|
|HIP 60000 |12 18 20.9439|-79 18 44.168|B5Vn        | 4.24|
|HIP 5372  |01 08 44.1594|+86 15 25.625|K2II-III    | 4.24|
|HIP 114855|23 15 53.2769|-09 05 15.704|K0III       | 4.24|
|HIP 12770 |02 44 07.3545|-13 51 31.233|B7IV        | 4.24|
|HIP 23972 |05 09 08.7830|-08 45 14.674|B2IVn       | 4.25|
|HIP 41075 |08 22 50.1301|+43 11 18.140|K5III       | 4.25|
|HIP 21402 |04 35 39.2336|+10 09 39.301|A5m         | 4.25|
|HIP 62896 |12 53 26.1460|-40 10 43.747|A4IV        | 4.25|
|HIP 70692 |14 27 31.5225|+75 41 45.381|K4III       | 4.25|
|HIP 19167 |04 06 35.0553|+50 21 04.861|A0IVn       | 4.25|
|HIP 107418|21 45 26.9293|+61 07 14.918|A2Iavar     | 4.25|
|HIP 21476 |04 36 41.4336|+41 15 53.477|G8II comp   | 4.25|
|HIP 5896  |01 15 45.4953|-68 52 34.453|F6IV        | 4.25|
|HIP 22783 |04 54 03.0106|+66 20 33.577|O9.5Ia SB:  | 4.26|
|HIP 16611 |03 33 47.2479|-21 37 58.137|B9V         | 4.26|
|HIP 5434  |01 09 30.1222|+47 14 30.567|B7III       | 4.26|
|HIP 15510 |03 19 53.2248|-43 04 17.577|G8V         | 4.26|
|HIP 86170 |17 36 32.8468|-38 38 05.515|G8/K0III/IV | 4.26|
|HIP 8198  |01 45 23.5887|+09 09 27.508|K0III       | 4.26|
|HIP 19893 |04 16 01.4914|-51 29 13.545|F4III       | 4.26|
|HIP 44066 |08 58 29.1970|+11 51 27.979|A5m         | 4.26|
|HIP 88267 |18 01 30.4029|+21 35 44.477|G5          | 4.26|
|HIP 108917|22 03 47.1619|+64 37 39.915|Am          | 4.26|
|HIP 115830|23 27 58.1678|+06 22 44.750|K1III       | 4.27|
|HIP 12828 |02 44 56.3734|+10 06 51.191|F1III-IV    | 4.27|
|HIP 4906  |01 02 56.6559|+07 53 24.261|K0III       | 4.27|
|HIP 95294 |19 23 13.0606|-44 47 58.732|F2III       | 4.27|
|HIP 102532|20 46 39.5180|+16 07 29.184|K1IV        | 4.27|
|HIP 21589 |04 38 09.4017|+12 30 39.147|A6V         | 4.27|
|HIP 21881 |04 42 14.7035|+22 57 25.112|B3V         | 4.27|
|HIP 19860 |04 15 32.0452|+08 53 32.676|B3IV        | 4.27|
|HIP 64004 |13 06 54.6630|-49 54 22.377|B1.5V       | 4.27|
|HIP 74911 |15 18 32.0486|-47 52 30.691|B8V         | 4.27|
|HIP 105515|21 22 14.7774|-16 50 04.399|G8III       | 4.28|
|HIP 20711 |04 26 18.3948|+22 48 49.298|A8Vn        | 4.28|
|HIP 99655 |20 13 23.8011|+56 34 03.080|A3IV-Vn     | 4.28|
|HIP 114131|23 06 52.7685|-43 31 13.168|F5me...     | 4.28|
|HIP 109410|22 09 59.2526|+33 10 41.763|F5III       | 4.28|
|HIP 85423 |17 27 21.2640|-29 52 00.118|F3III       | 4.28|
|HIP 51172 |10 27 09.1559|-31 04 04.088|K4III       | 4.28|
|HIP 47193 |09 37 05.3519|+81 19 35.115|K3III       | 4.28|
|HIP 77055 |15 44 03.4639|+77 47 40.196|A3Vn        | 4.29|
|HIP 16852 |03 36 52.5190|+00 24 10.199|F9V         | 4.29|
|HIP 52154 |10 39 18.4125|-55 36 11.805|G2II        | 4.29|
