|name      |ra           |dec          |spect_type  |vmag |
|HIP 17678 |03 47 14.2315|-74 14 21.273|M2III       | 3.26|
|HIP 3092  |00 39 19.5974|+30 51 40.413|K3III...    | 3.27|
|HIP 84970 |17 22 00.5841|-24 59 58.157|B2IV        | 3.27|
|HIP 113136|22 54 39.0392|-15 49 14.736|A3V         | 3.27|
|HIP 24305 |05 12 55.8731|-16 12 19.544|B9IV: HgMn  | 3.29|
|HIP 75458 |15 24 55.7841|+58 57 57.685|K2III       | 3.29|
|HIP 50099 |10 13 44.2789|-70 02 16.518|B8III       | 3.29|
|HIP 51576 |10 32 01.4838|-61 41 07.297|B4Vne       | 3.30|
|HIP 21281 |04 33 59.7184|-55 02 42.020|A0V:        | 3.30|
|HIP 29655 |06 14 52.6967|+22 30 24.566|M3III       | 3.31|
|HIP 85267 |17 25 23.6599|-56 22 39.678|B1Ib        | 3.31|
|HIP 88048 |17 59 01.5976|-09 46 24.059|K0III       | 3.32|
|HIP 59774 |12 15 25.4491|+57 01 57.353|A3Vvar      | 3.32|
|HIP 93864 |19 06 56.4423|-27 40 11.331|K1/K2III    | 3.32|
|HIP 14354 |03 05 10.4970|+38 50 25.919|M3IIIvar    | 3.32|
|HIP 84143 |17 12 09.1759|-43 14 18.565|F3p         | 3.32|
|HIP 5165  |01 06 05.1065|-46 43 06.566|G8IIIvar    | 3.32|
|HIP 54879 |11 14 14.4409|+15 25 47.147|A2V         | 3.33|
|HIP 19780 |04 14 25.4311|-62 28 26.324|G7III       | 3.33|
|HIP 38170 |07 49 17.6587|-24 51 35.222|G6Ia        | 3.34|
|HIP 41704 |08 30 16.0302|+60 43 06.352|G4II-III    | 3.35|
|HIP 32362 |06 45 17.4336|+12 53 45.798|F5IV        | 3.35|
|HIP 25281 |05 24 28.6171|-02 23 49.698|B1V + B2    | 3.35|
|HIP 8886  |01 54 23.6835|+63 40 12.529|B2pvar      | 3.35|
|HIP 95501 |19 25 29.7527|+03 06 52.485|F0IV        | 3.36|
|HIP 75264 |15 22 40.8875|-44 41 22.463|B2IV-V      | 3.37|
|HIP 43109 |08 46 46.6462|+06 25 08.065|G0III-IV    | 3.38|
|HIP 66249 |13 34 41.7547|-00 35 45.378|A3V         | 3.38|
|HIP 109492|22 10 51.2619|+58 12 04.500|K1Ibv SB    | 3.39|
|HIP 50371 |10 17 05.0053|-61 19 56.351|K3II        | 3.39|
|HIP 26207 |05 35 08.2777|+09 56 02.987|O...        | 3.39|
|HIP 63090 |12 55 36.4833|+03 23 51.355|M3III       | 3.39|
|HIP 20894 |04 28 39.6749|+15 52 15.408|A7III       | 3.40|
|HIP 74395 |15 12 17.2032|-52 05 56.669|G8III       | 3.41|
|HIP 18724 |04 00 40.8206|+12 29 25.353|B3V + A     | 3.41|
|HIP 112029|22 41 27.6748|+10 49 53.008|B8.5V       | 3.41|
|HIP 67464 |13 49 30.2974|-41 41 15.575|B2IV        | 3.41|
|HIP 102422|20 45 17.2686|+61 50 12.459|K0IV        | 3.41|
|HIP 6867  |01 28 21.9417|-43 19 03.825|K5II-III    | 3.41|
|HIP 102395|20 44 57.5557|-66 12 11.658|A5IV        | 3.42|
|HIP 8796  |01 53 04.8998|+29 34 45.830|F6IV        | 3.42|
|HIP 86974 |17 46 27.7189|+27 43 20.997|G5IV        | 3.42|
